model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,accuracy,max_judge_retries,baseline_full_doc
qwen3-next:80b-cloud,415980d4d472_20260131081911,1,690.7123093605042,6912,6783,2,4.666666666666667,0.9047619047619048,2,True
qwen3-next:80b-cloud,508e9a866e78_20260131082639,1,513.2819383144379,8527,4109,2,4.761904761904762,0.9047619047619048,2,True
qwen3-next:80b-cloud,1c0dbabea0ad_20260131083003,1,489.54024028778076,8500,4323,1,4.809523809523809,0.9523809523809523,2,True
qwen3-next:80b-cloud,5e596e0e66b6_20260131083116,1,451.9444673061371,7999,2948,1,4.619047619047619,0.9047619047619048,2,True
qwen3-next:80b-cloud,e96d02fc1b3a_20260201063647,1,12.90335750579834,4322,2423,0,,0.8571428571428571,0,False
qwen3-next:80b-cloud,e96d02fc1b3a_20260201063647,2,21.155089139938354,4183,3736,0,,0.8571428571428571,0,False
qwen3-next:80b-cloud,e96d02fc1b3a_20260201063647,3,23.53592586517334,3981,4610,0,,0.8571428571428571,0,False
qwen3-next:80b-cloud,e96d02fc1b3a_20260201063647,4,38.53162336349487,4358,6587,0,,0.8571428571428571,0,False
qwen3-next:80b-cloud,e96d02fc1b3a_20260201063647,5,49.06898593902588,3900,6782,0,,0.8571428571428571,0,False
qwen3-next:80b-cloud,e96d02fc1b3a_20260201063647,6,24.299943685531616,3196,1959,0,,0.8571428571428571,0,False
qwen3-next:80b-cloud,bf5818b01ed8_20260201063642,1,26.771671772003174,4322,4176,0,,0.9047619047619048,0,False
qwen3-next:80b-cloud,bf5818b01ed8_20260201063642,2,17.45600652694702,4183,3119,0,,0.9047619047619048,0,False
qwen3-next:80b-cloud,bf5818b01ed8_20260201063642,3,32.92576813697815,3981,6175,0,,0.9047619047619048,0,False
qwen3-next:80b-cloud,bf5818b01ed8_20260201063642,4,41.678609132766724,4358,7694,0,,0.9047619047619048,0,False
qwen3-next:80b-cloud,bf5818b01ed8_20260201063642,5,37.076536417007446,3900,4310,0,,0.9047619047619048,0,False
qwen3-next:80b-cloud,bf5818b01ed8_20260201063642,6,22.441651105880737,3196,1628,0,,0.9047619047619048,0,False
